ID,Ano,Dia Juliano,Hora - minuto,Temperatura,Umidade
633,2017,5,940,27.49,65.78
634,2017,5,950,27.92,64.38
635,2017,5,1000,27.81,65.76
636,2017,5,1010,28.09,62.07
637,2017,5,1020,28.19,62.93
638,2017,5,1030,28.23,64.15
639,2017,5,1040,28.89,62.34
640,2017,5,1050,28.69,62.02
641,2017,5,1100,28.71,62.68
642,2017,5,1110,28.76,61.3
643,2017,5,1120,29.16,60.13
644,2017,5,1130,29.72,59.01
645,2017,5,1140,29.91,58.72
646,2017,5,1150,30.01,57.66
647,2017,5,1200,27.33,64.06
648,2017,5,1210,25.8,68.33
649,2017,5,1220,23.7,79.4
650,2017,5,1230,21.91,89.6
651,2017,5,1240,22.03,90.5
652,2017,5,1250,21.95,89.7
653,2017,5,1300,22.15,90.1
654,2017,5,1310,22.49,89.3
655,2017,5,1320,22.69,89.3
656,2017,5,1330,22.92,89.7
657,2017,5,1340,23.06,88.9
658,2017,5,1350,23.5,88.0
659,2017,5,1400,23.91,83.2
660,2017,5,1410,24.47,81.6
661,2017,5,1420,24.99,80.9
662,2017,5,1430,25.06,76.6
663,2017,5,1440,25.15,76.6
664,2017,5,1450,25.52,75.7
665,2017,5,1500,25.38,77.0
666,2017,5,1510,25.3,77.6
667,2017,5,1520,25.24,76.6
668,2017,5,1530,25.14,76.6
669,2017,5,1540,25.48,74.9
670,2017,5,1550,25.6,73.9
671,2017,5,1600,25.75,70.4
672,2017,5,1610,25.8,69.79
673,2017,5,1620,25.86,70.9
674,2017,5,1630,25.93,72.2
675,2017,5,1640,25.84,72.4
676,2017,5,1650,26.05,72.6
677,2017,5,1700,26.15,72.5
678,2017,5,1710,25.94,74.5
679,2017,5,1720,26.38,73.7
680,2017,5,1730,26.41,71.4
681,2017,5,1740,26.22,69.0
682,2017,5,1750,26.11,71.2
683,2017,5,1800,26.78,69.76
684,2017,5,1810,26.82,68.23
685,2017,5,1820,26.43,69.47
686,2017,5,1830,26.39,70.4
687,2017,5,1840,25.71,73.2
688,2017,5,1850,25.37,74.2
689,2017,5,1900,25.1,75.5
690,2017,5,1910,24.67,76.9
691,2017,5,1920,24.19,80.2
692,2017,5,1930,23.96,78.3
693,2017,5,1940,24.1,77.5
694,2017,5,1950,24.05,78.3
695,2017,5,2000,23.98,76.9
696,2017,5,2010,24.05,76.6
697,2017,5,2020,23.82,78.3
698,2017,5,2030,23.51,79.5
699,2017,5,2040,23.49,79.6
700,2017,5,2050,23.76,77.6
701,2017,5,2100,23.76,77.9
702,2017,5,2110,23.58,78.8
703,2017,5,2120,22.75,83.6
704,2017,5,2130,22.74,81.9
705,2017,5,2140,23.09,80.1
706,2017,5,2150,22.92,81.4
707,2017,5,2200,22.99,80.5
708,2017,5,2210,23.09,81.5
709,2017,5,2220,23.13,82.6
710,2017,5,2230,23.47,82.8
711,2017,5,2240,23.53,82.9
712,2017,5,2250,23.35,84.1
713,2017,5,2300,23.29,83.0
714,2017,5,2310,23.17,83.5
715,2017,5,2320,23.04,83.4
716,2017,5,2330,23.05,82.6
717,2017,5,2340,22.93,82.5
718,2017,5,2350,22.71,83.2
719,2017,5,2400,22.59,84.0
720,2017,6,10,22.62,83.6
721,2017,6,20,22.67,83.2
722,2017,6,30,22.63,83.7
723,2017,6,40,22.55,83.8
724,2017,6,50,22.55,84.2
725,2017,6,100,22.47,84.1
726,2017,6,110,22.32,86.3
727,2017,6,120,22.2,88.8
728,2017,6,130,21.75,91.6
729,2017,6,140,21.26,93.2
730,2017,6,150,21.08,94.6
731,2017,6,200,21.06,94.5
732,2017,6,210,20.93,94.9
733,2017,6,220,20.77,95.5
734,2017,6,230,20.75,95.4
735,2017,6,240,20.81,94.9
736,2017,6,250,20.88,94.0
737,2017,6,300,20.8,94.2
738,2017,6,310,20.6,95.2
739,2017,6,320,20.5,95.9
740,2017,6,330,20.59,95.3
741,2017,6,340,20.6,95.3
742,2017,6,350,20.59,95.2
743,2017,6,400,20.36,95.7
744,2017,6,410,20.27,96.4
745,2017,6,420,20.41,95.7
746,2017,6,430,20.26,95.2
747,2017,6,440,20.16,96.1
748,2017,6,450,20.26,95.5
749,2017,6,500,20.17,95.7
750,2017,6,510,20.3,95.1
751,2017,6,520,20.29,94.6
752,2017,6,530,20.27,94.6
753,2017,6,540,20.29,94.6
754,2017,6,550,20.19,94.7
755,2017,6,600,20.26,95.0
756,2017,6,610,20.45,94.3
757,2017,6,620,20.94,93.0
758,2017,6,630,21.17,92.5
759,2017,6,640,21.96,90.1
760,2017,6,650,22.97,84.7
761,2017,6,700,22.97,83.3
762,2017,6,710,22.63,84.6
763,2017,6,720,22.88,85.6
764,2017,6,730,23.38,84.1
765,2017,6,740,23.6,82.4
766,2017,6,750,23.89,82.7
767,2017,6,800,24.32,81.5
768,2017,6,810,24.44,80.9
769,2017,6,820,24.62,80.9
770,2017,6,830,24.67,80.2
771,2017,6,840,24.78,79.7
772,2017,6,850,25.14,79.4
773,2017,6,900,25.53,77.8
774,2017,6,910,25.92,76.4
775,2017,6,920,26.06,75.4
776,2017,6,930,26.39,73.8
777,2017,6,940,26.78,71.8
778,2017,6,950,26.94,70.9
779,2017,6,1000,27.09,65.16
780,2017,6,1010,27.67,65.45
781,2017,6,1020,27.96,65.03
782,2017,6,1030,28.01,64.51
783,2017,6,1040,28.72,63.91
784,2017,6,1050,28.44,62.96
785,2017,6,1100,28.78,62.69
786,2017,6,1110,28.89,61.73
